Source,Target,Type,Id,Label,timeset,Weight
0,7,Directed,0,,,1
0,8,Directed,1,,,1
0,9,Directed,2,,,1
0,10,Directed,3,,,1
0,11,Directed,4,,,1
0,12,Directed,5,,,1
0,13,Directed,6,,,1
0,14,Directed,7,,,1
0,15,Directed,8,,,1
0,16,Directed,9,,,1
0,40,Directed,10,,,1
0,44,Directed,11,,,1
1,7,Directed,12,,,1
1,8,Directed,13,,,1
1,9,Directed,14,,,1
1,10,Directed,15,,,1
1,11,Directed,16,,,1
1,12,Directed,17,,,1
1,13,Directed,18,,,1
1,16,Directed,19,,,1
1,18,Directed,20,,,1
1,19,Directed,21,,,1
1,20,Directed,22,,,1
1,21,Directed,23,,,1
1,22,Directed,24,,,1
1,23,Directed,25,,,1
1,24,Directed,26,,,1
1,25,Directed,27,,,1
1,26,Directed,28,,,1
1,27,Directed,29,,,1
1,28,Directed,30,,,1
1,29,Directed,31,,,1
1,30,Directed,32,,,1
2,7,Directed,33,,,1
2,8,Directed,34,,,1
2,9,Directed,35,,,1
2,10,Directed,36,,,1
2,12,Directed,37,,,1
2,13,Directed,38,,,1
2,16,Directed,39,,,1
2,20,Directed,40,,,1
2,21,Directed,41,,,1
2,27,Directed,42,,,1
2,28,Directed,43,,,1
2,29,Directed,44,,,1
2,30,Directed,45,,,1
2,31,Directed,46,,,1
3,7,Directed,47,,,1
3,8,Directed,48,,,1
3,9,Directed,49,,,1
3,10,Directed,50,,,1
3,11,Directed,51,,,1
3,12,Directed,52,,,1
3,13,Directed,53,,,1
3,16,Directed,54,,,1
3,18,Directed,55,,,1
3,19,Directed,56,,,1
3,20,Directed,57,,,1
3,21,Directed,58,,,1
3,22,Directed,59,,,1
3,23,Directed,60,,,1
3,24,Directed,61,,,1
3,25,Directed,62,,,1
3,26,Directed,63,,,1
3,30,Directed,64,,,1
3,31,Directed,65,,,1
3,32,Directed,66,,,1
3,33,Directed,67,,,1
4,7,Directed,68,,,1
4,8,Directed,69,,,1
4,9,Directed,70,,,1
4,10,Directed,71,,,1
4,12,Directed,72,,,1
4,13,Directed,73,,,1
4,16,Directed,74,,,1
4,21,Directed,75,,,1
4,22,Directed,76,,,1
4,24,Directed,77,,,1
4,34,Directed,78,,,1
4,35,Directed,79,,,1
4,36,Directed,80,,,1
5,7,Directed,81,,,1
5,8,Directed,82,,,1
5,9,Directed,83,,,1
5,10,Directed,84,,,1
5,12,Directed,85,,,1
5,13,Directed,86,,,1
5,16,Directed,87,,,1
5,21,Directed,88,,,1
5,22,Directed,89,,,1
5,24,Directed,90,,,1
5,25,Directed,91,,,1
