0,1,2,3,4,5,6,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,
8,1,2,3,4,5,,,,,,,,,,,,,,,
9,1,2,3,4,5,6,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11,4,,,,,,,,,,,,,,,,,,,
12,5,,,,,,,,,,,,,,,,,,,
13,2,,,,,,,,,,,,,,,,,,,
14,0,,,,,,,,,,,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,,,
7,8,11,12,13,,,,,,,,,,,,,,,,
8,11,12,13,,,,,,,,,,,,,,,,,
9,8,,,,,,,,,,,,,,,,,,,
10,7,8,9,11,12,13,14,15,,,,,,,,,,,,
14,7,8,9,10,11,12,13,,,,,,,,,,,,,
15,7,8,9,10,11,12,13,14,,,,,,,,,,,,
16,7,,,,,,,,,,,,,,,,,,,
17,16,,,,,,,,,,,,,,,,,,,
18,16,,,,,,,,,,,,,,,,,,,
19,16,,,,,,,,,,,,,,,,,,,
20,9,,,,,,,,,,,,,,,,,,,
21,20,25,,,,,,,,,,,,,,,,,,
22,20,21,23,25,26,32,33,34,38,39,40,41,42,43,47,,,,,
23,20,,,,,,,,,,,,,,,,,,,
24,20,,,,,,,,,,,,,,,,,,,
25,9,,,,,,,,,,,,,,,,,,,
26,25,,,,,,,,,,,,,,,,,,,
27,7,,,,,,,,,,,,,,,,,,,
27,16,,,,,,,,,,,,,,,,,,,
28,7,8,9,11,12,13,15,,,,,,,,,,,,,
28,16,20,25,32,33,34,35,38,39,40,41,42,43,46,47,49,50,,,
29,8,9,11,12,13,,,,,,,,,,,,,,,
29,20,25,33,35,38,39,40,41,42,,,,,,,,,,,
30,7,14,,,,,,,,,,,,,,,,,,
30,37,,,,,,,,,,,,,,,,,,,
31,14,,,,,,,,,,,,,,,,,,,
31,44,,,,,,,,,,,,,,,,,,,
32,7,15,,,,,,,,,,,,,,,,,,
32,16,47,,,,,,,,,,,,,,,,,,
33,8,,,,,,,,,,,,,,,,,,,
33,25,35,41,,,,,,,,,,,,,,,,,
34,8,,,,,,,,,,,,,,,,,,,
34,41,35,,,,,,,,,,,,,,,,,,
35,8,,,,,,,,,,,,,,,,,,,
35,41,,,,,,,,,,,,,,,,,,,
36,10,,,,,,,,,,,,,,,,,,,
36,27,28,29,30,31,,,,,,,,,,,,,,,
37,14,,,,,,,,,,,,,,,,,,,
38,10,,,,,,,,,,,,,,,,,,,
39,8,,,,,,,,,,,,,,,,,,,
39,41,40,,,,,,,,,,,,,,,,,,
40,11,,,,,,,,,,,,,,,,,,,
41,8,,,,,,,,,,,,,,,,,,,
42,13,,,,,,,,,,,,,,,,,,,
42,43,,,,,,,,,,,,,,,,,,,
43,13,,,,,,,,,,,,,,,,,,,
44,14,,,,,,,,,,,,,,,,,,,
45,14,,,,,,,,,,,,,,,,,,,
46,14,15,7,,,,,,,,,,,,,,,,,
47,7,14,15,,,,,,,,,,,,,,,,,
48,14,,,,,,,,,,,,,,,,,,,
49,15,,,,,,,,,,,,,,,,,,,
50,7,8,9,11,12,13,,,,,,,,,,,,,,
51,15,,,,,,,,,,,,,,,,,,,
52,51,,,,,,,,,,,,,,,,,,,
52,62,,,,,,,,,,,,,,,,,,,
52,101,,,,,,,,,,,,,,,,,,,
53,52,,,,,,,,,,,,,,,,,,,
54,1,,,,,,,,,,,,,,,,,,,
55,2,,,,,,,,,,,,,,,,,,,
56,3,,,,,,,,,,,,,,,,,,,
57,4,,,,,,,,,,,,,,,,,,,
58,5,,,,,,,,,,,,,,,,,,,
